topic_id,top_words
0,"just, don, msg, ve, pain, car, ground, right, food, does"
1,"window, windows, image, file, program, files, jpeg, using, version, graphics"
2,"god, jesus, bible, believe, christian, church, does, say, faith, christians"
3,"db, drive, scsi, disk, card, windows, controller, drives, dos, memory"
4,"mr, president, stephanopoulos, mr stephanopoulos, don, just, said, myers, going, ms myers"
5,"ax, max, g9v, b8f, a86, pl, 145, 1d9, file, 34u"
6,"card, drive, scsi, pc, bit, mac, ram, windows, software, monitor"
7,"gun, guns, don, right, law, crime, state, weapons, government, just"
8,"00, 50, sale, 10, dos, shipping, new, offer, price, 15"
9,"car, bike, cars, engine, miles, just, new, don, bikes, road"
10,"team, game, year, play, season, players, 10, games, 11, win"
11,"space, launch, government, just, science, nasa, money, don, years, new"
12,"armenian, armenians, israel, turkish, jews, said, israeli, turkey, don, war"
13,"55, 25, hockey, la, pts, 00, league, games, game, team"
14,"key, encryption, chip, clipper, government, keys, escrow, nsa, clipper chip, secure"
15,"hello, hello hello, , , , , , , , "
